nombre,cluster,calorias,proteina,grasa_total,carbohidratos,fibra
"Panqueques, incompletos (incluye suero de leche), mezcla seca, bajos en grasa, simples",18,384,7.4,6.2,74.69,2.5
"Cereales, sin sal, preparados con agua, instantáneos, CREMA DE TRIGO",0,62,1.84,0.2,13.08,0.6
"Comida rápida, masa normal, aderezo de pepperoni, pizza de 14"", Pizza Chain",14,282,11.74,12.0,31.98,2.3
"Muffins ingleses, con apoyo de ca (incluye masa madre), enriquecidos, simples",10,227,8.87,1.7,44.17,3.5
"CAMPBELL'S CHUNKY Soups, pollo salado con sopa de arroz blanco y salvaje",0,45,2.86,0.8,7.35,0.8
"Ternera, cocida, sólo magro separable, compuesta de cortes minoristas recortados",7,196,31.9,6.6,0.0,0.0
"DIGIORNO Pizza, horneada, congelada, corteza fina y crujiente, cobertura de pepperoni",14,283,13.22,13.0,28.67,2.8
"Aderezo para ensaladas, sin sal, regular, comercial, aderezo italiano",14,292,0.38,28.0,10.43,0.0
"Leche de soja (todos los sabores), vitaminas A y D, con calcio añadido, baja en grasa",0,43,1.65,0.6,7.2,0.8
"Cerezas, sólidos y líquidos, en almíbar extra espeso, en lata, dulces",0,102,0.59,0.2,26.23,1.5
"Galletas horneadas, bajas en grasa, masa refrigerada, simples o con suero de leche",10,319,7.8,9.1,51.6,2.3
"Bebidas con alto contenido de vitamina C, más del 3% de jugo, bebida de jugo de frutas",0,46,0.13,0.1,11.35,0.1
"Untable tipo margarina, SMART BEAT Super Light sin grasas saturadas",0,158,0.0,17.0,0.0,0.0
"Bebidas en polvo, bajas en calorías, tipo desayuno, Bebida sabor naranja",18,217,3.6,0.0,85.9,3.8
"Leche, con calcio añadido, reducida en grasa, comercial, líquida, chocolate",0,78,2.99,1.9,12.13,0.7
"Pavo, crudo, con solución añadida, solo carne, ave entera, muslo",13,115,19.27,4.1,0.15,0.0
"Bocadillos, elaborados con harina de masa enriquecida, sabor nacho, chips de tortilla",6,498,7.8,26.0,62.4,5.3
"Donuts, no enriquecidos (incluye bollos de miel), glaseados, con levadura",6,403,6.4,23.0,44.3,1.2
"Cereales secos, crujiente de azúcar moreno y arce, KELLOGG'S SPECIAL K NOURISH",19,371,15.39,9.9,62.09,9.3
"Pollo, asado, cocido, carne y piel, pechuga, para asar o freír",7,197,29.8,7.8,0.0,0.0
"Habas (habas), sin sal, hervidas, cocidas, semillas maduras",12,110,7.6,0.4,19.65,5.4
"Cerdo, asado, cocido, sólo magro separable, lomo, lomo, fresco",7,143,26.17,3.5,0.0,0.0
"KFC, carne y piel con empanizado, Alita, EXTRA CRUJIENTE, Pollo Frito",11,337,20.8,23.0,11.66,0.0
"Cordero, crudo, parte magra y grasa, chuleta de lomo, importado, Nueva Zelanda",1,298,15.4,26.0,0.22,0.0
"Pollo, asado, cocido, sólo carne, carnes blancas, para asar o freír",7,173,30.91,4.5,0.0,0.0
"Galletas saladas, con relleno de mantequilla de maní, sándwich, tipo snack estándar",6,494,11.47,25.0,58.38,2.3
Producto de queso fundido pasteurizado reducido en grasa KRAFT VELVEETA LIGHT,11,222,19.6,11.0,11.8,0.0
"Bebidas, endulzadas, ginseng y miel, listas para beber, té verde",0,30,0.0,0.2,7.16,0.0
"CAMPBELL'S Red and White - Tazones aptos para microondas, sopa de carne con verduras",0,34,2.04,0.2,6.12,1.2
"Carnes frías, incluye SPAM Lite, enlatadas, picadas, cerdo y pollo",13,196,15.23,14.0,1.35,0.0
"Carne de caza, asada, cocida, compuesta de cortes, domesticada, conejo",7,197,29.06,8.1,0.0,0.0
"MORNINGSTAR FARMS Receta estilo salchicha desmoronada, sin preparar, congelada",13,159,20.2,4.6,9.9,4.6
"Pizza KASHI, sin preparar, congelada, porción individual, champiñones y espinacas",10,229,10.7,6.0,36.5,4.1
"Cerdo, a la parrilla, cocido, sólo magro separable, lomo, lomo, fresco",7,187,30.42,6.3,0.0,0.0
"Budines, preparados con leche entera, mezcla seca regular, crema de coco",0,114,3.0,3.8,17.7,0.2
"Budines, preparados con leche entera, mezcla seca instantánea, crema de coco",0,117,2.9,3.5,19.1,0.1
"Pan, elaborado con leche baja en grasa (2%), preparado a partir de receta, pan de maíz",10,266,6.7,7.1,43.5,0.0
"Pimientos, sin sal, escurridos, hervidos, picados, congelados, rojos, dulces",0,16,0.95,0.2,3.31,0.8
"Leche de soja, vitaminas A y D, con calcio añadido, original y vainilla.",0,43,2.6,1.5,4.92,0.2
"Bebidas listas para beber, sabor lima-limón, POWERADE, COCA-COLA",0,32,0.0,0.1,7.84,0.0
"Nueces, envasadas, en copos, endulzadas, secas (desecadas), pulpa de coco",6,456,3.13,28.0,51.85,9.9
"Frijoles alados, sin sal, escurridos, hervidos, cocidos, semillas verdes",0,38,5.31,0.7,3.21,0.0
"Carne de res, dorada, cocida, desmenuzada, 93 % carne magra / 7 % grasa, molida",7,209,28.88,9.5,0.0,0.0
"Jugo de toronja, sin diluir, sin azúcar, concentrado congelado, blanco",10,146,1.97,0.5,34.56,0.4
"Semillas, con sal añadida (decorticadas), tostadas, granos de sésamo",9,567,16.96,48.0,26.04,16.9
"GEORGE WESTON BAKERIES, seco, mezcla de relleno de cebolla y salvia y moras",2,390,13.3,5.1,72.7,5.4
"Fórmula infantil, lista para consumir, NUTRAMIGEN AA, ENFAMIL, MEAD JOHNSON",0,66,1.84,3.5,6.76,0.0
"Carne de res, cruda, parte magra y grasa, ojo redondo, importado, Nueva Zelanda",13,129,19.88,4.9,1.32,0.0
"Carne de res, cruda, parte magra y grasa, rollo de cubos, importado, Nueva Zelanda",11,225,18.22,16.0,1.31,0.0
"Pastel, enriquecido, excepto mantequilla, preparado comercialmente, libra",6,389,5.2,18.0,52.5,1.0
"Cerdo, estofado, cocido, lengua, variedad de carnes y subproductos, fresco",11,271,24.1,19.0,0.0,0.0
"Alimentos para bebés, junior, sin ácido ascórbico, ciruelas pasas con tapioca, fruta",0,70,0.6,0.1,18.7,2.7
"Ternera, a la parrilla, cocida, parte magra y grasa, chuleta, paleta",7,199,25.72,11.0,0.15,0.0
"Ternera, estofado, cocido, parte magra y grasa, oso buco, brazuelo",7,182,27.94,7.8,0.11,0.0
"Barras de desayuno, coco (incluye barra de granola), pasas, azúcar, avena",6,464,9.8,18.0,66.7,3.1
"Sopa de arroz y tomate a la antigua usanza, condensada, roja y blanca de CAMPBELL'S",0,87,0.79,1.6,18.25,0.8
"Cereales listos para comer, Cereal MOTHER'S PEANUT BUTTER BUMPERS, QUAKER",18,407,7.62,7.3,79.68,2.5
"Ternera, cruda, parte magra y grasa, compuesta de cortes recortados al por menor",13,144,19.35,6.8,0.0,0.0
"Keebler, original, galletas rellenas de dulce de azúcar Magic Middles, FUDGE SHOPPE",6,521,5.0,28.0,62.5,1.9
"Sucedáneo de nata, con aceite de ácido láurico y caseinato de sodio, líquido",0,136,1.0,10.0,11.38,0.0
"Alimento de queso, sin vitamina D añadida, americano, proceso pasteurizado",1,330,16.86,26.0,8.56,0.0
"Ternera, cruda, parte magra y grasa, con hueso, parte delantera, pierna, australiana",13,145,19.58,7.4,0.0,0.0
"Leche de soja (todos los sabores), vitaminas A y D, con calcio añadido, sin grasa",0,28,2.47,0.0,4.14,0.2
"DIGIORNO Pizza, horneada, congelada, masa rellena de queso, cobertura de queso",14,279,13.48,12.0,29.86,1.9
"KELLOGG'S, deliciosos pasteles tostados de batido de vainilla, POP-TARTS",18,398,4.1,11.0,70.2,2.7
"Maíz, enjuagado con agua del grifo, sólidos escurridos, en lata, amarillo, dulce",0,74,2.18,1.4,13.02,1.7
"Caupí, con sal, escurridos, hervidos, cocidos, vainas tiernas con semillas",0,34,2.6,0.3,7.0,0.0
"Pescado, sin piel ni espinas, sólidos escurridos, en lata, rosado, Salmón",13,136,24.62,4.2,0.0,0.0
"Pavo, crudo, con solución añadida, solo carne, ave entera, lomo",13,115,19.27,4.1,0.15,0.0
"Cerdo, asado, cocido, sólo magro separable, entero, paleta, fresco",11,230,25.33,14.0,0.0,0.0
"Frijoles, sin sal, escurridos, hervidos, cocidos, congelados, amarillos, crujientes",0,28,1.49,0.2,6.45,3.0
"Fideos deshidratados, celofán o arroz largo (frijoles mungo), chinos",18,351,0.16,0.1,86.09,0.5
"Bebidas fortificadas, preparadas con 1% de leche, malta de chocolate en polvo",0,57,3.32,1.0,8.81,0.0
"Harina de trigo, enriquecida, blanqueada, 11,5% de proteína, blanca (industrial)",18,363,11.5,1.5,73.81,2.4
"Harina de trigo, enriquecida, sin blanquear, 10% de proteína, blanca (industrial)",18,366,9.71,1.5,76.22,2.4
"Ballena, piel y grasa subcutánea (muktuk) (Nativos de Alaska), cabeza de Groenlandia",1,465,12.6,46.0,0.0,0.0
"Cereales listos para comer, Crujiente de Almendra, AVENA CRISP, GENERAL MILLS",2,390,9.89,6.7,78.09,8.2
"Patatas, sin sal, carne y piel, cocidas con piel, al microondas",0,105,2.44,0.1,24.24,2.3
"Pollo, asado, cocido, carne y piel, muslo, para asar o freír",11,232,23.26,15.0,0.0,0.0
"Guandúes (gramo rojo), sin sal, hervidos, cocidos, con semillas maduras",12,121,6.76,0.4,23.25,6.7
"Frijoles refritos, estilo tradicional (incluye productos del USDA), enlatados",12,90,4.98,2.0,13.55,3.7
"Cerdo, estofado, cocido, sesos, variedades de carnes y subproductos, frescos",13,138,12.14,9.5,0.0,0.0
"Galletas recubiertas de chocolate (incluye pasteles de malvavisco), malvavisco",6,421,4.0,17.0,67.7,2.0
"Aves, crudas, de lomos y cuellos con piel, deshuesadas mecánicamente",1,272,11.39,25.0,0.0,0.0
"Cerdo, cocido a fuego lento, cocido, rabo, variedad de carnes y subproductos, fresco",1,396,17.0,36.0,0.0,0.0
"Cerdo, cocido a fuego lento, cocido, patas, carnes variadas y subproductos, fresco",11,238,21.94,16.0,0.0,0.0
"Cerdo, asado, parte magra y grasa, rollo de cuchilla, paleta, curado",11,287,17.28,23.0,0.37,0.0
"Sopa, comercial, preparada con igual volumen de agua, en lata, tomate",0,32,0.71,0.2,7.45,0.5
"Carne de res, cruda, sólo magro separable, centro de lomo, importado, Nueva Zelanda",13,141,21.74,6.1,0.0,0.0
"Galletas, bajas en grasa, regulares, preparadas comercialmente, con chispas de chocolate",6,451,5.97,18.0,67.49,3.0
"Frutos secos, sin sal añadida, sin cacahuetes, tostados en aceite, frutos secos mixtos",9,615,15.52,56.0,22.27,5.5
"KRAFT FOODS, seco, Rebozado para cerdo, RECETA ORIGINAL SHAKE 'N' BAKE",18,377,6.1,3.7,79.8,0.0
"Cerdo, crudo, parte magra y grasa, sin hueso, punta de solomillo de pierna asada",13,113,22.88,1.7,0.0,0.0
"Keebler, galletas Graham originales, tarta de queso, FUDGE SHOPPE",6,507,4.2,26.0,65.5,3.2
"MORNINGSTAR FARMS Chipotle Black Bean desmenuzado, sin preparar, congelado",12,122,14.4,4.1,10.2,4.3
"Cerdo, estofado, cocido, hígado, carnes variadas y subproductos, frescos",7,165,26.02,4.4,3.76,0.0
"Cerdo, estofado, cocido, pulmones, carnes variadas y subproductos, frescos",13,99,16.6,3.1,0.0,0.0
"CAMPBELL'S CHUNKY Soups, sopa de costilla de res asada con papas y hierbas",0,44,2.86,0.4,6.94,0.8
"Pavo asado, crudo, carne clara y oscura, sazonado, congelado, deshuesado",13,120,17.6,2.2,6.4,0.0
"Ternera, cruda, separable magra y grasa, entera (brazo y al corte), paleta",13,130,19.27,5.3,0.0,0.0
"Fórmula infantil, en polvo, con hierro, GOOD START 2 ESSENTIALS, NESTLE",6,471,12.2,19.0,62.23,0.0
"Judías jacinto, con sal, escurridas, hervidas, cocidas, semillas verdes",0,50,2.95,0.3,9.2,0.0
"Espinacas a la mostaza, con sal, escurridas, hervidas, cocidas (verde tierna)",0,16,1.7,0.2,2.8,2.0
"Agentes leudantes, fosfato puro, de doble efecto, levadura en polvo",0,51,0.1,0.0,24.1,0.2
"Carne de res, cruda, sólo magro separable, hoja bolar, importada, Nueva Zelanda",13,129,22.09,4.5,0.0,0.0
"Aderezo para ensaladas, sin sal, regular, comercial, aderezo francés",3,459,0.77,45.0,15.58,0.0
"Jarabes, jarabe ligero con sabor a chocolate genuino de HERSHEY'S, chocolate",10,153,1.4,1.0,34.56,0.0
"Aperitivos, CHEWY TRAIL MIX, NATURE VALLEY, GENERAL MILLS, barra de granola",18,415,5.71,11.0,72.27,3.8
"KELLOGG'S, bocados horneados con canela y azúcar moreno, POP-TARTS MINI CRISPS",18,433,4.8,11.0,79.0,1.7
"Cordero, crudo, sólo magro separable, lomo, importado, Nueva Zelanda",13,131,20.86,5.3,0.0,0.0
"Pasteles tostados, frutos del bosque glaseados, KELLOGG'S POP TARTS, KELLOGG",18,390,4.0,9.5,72.4,1.3
"Cereales, sin sal, preparados con agua, chocolate, MALT-O-MEAL",0,47,1.37,0.1,9.22,0.4
"Pavo, crudo, con solución añadida, solo carne, ave entera, ala",13,102,21.54,1.7,0.14,0.0
"KELLOGG'S, pasteles tostados con masa para galletas con chispas de chocolate, POP-TARTS",18,387,4.5,11.0,69.4,1.5
"Pollo, guisado, cocido, carne y piel, pechuga, para asar o freír",7,184,27.39,7.4,0.0,0.0
"Tomates, sin sal añadida, envasados ??en jugo de tomate, en lata, maduros, rojos",0,16,0.79,0.3,3.47,1.9
"Aderezo para ensalada, soja sin colesterol, imitación, mayonesa",3,482,0.1,48.0,15.8,0.0
"Pollo, guisado, cocido, sólo carne, carnes blancas, para asar o freír",7,159,28.88,4.0,0.0,0.0
"Pollo, asado, cocido, sólo carne, carne oscura, para asar o freír",7,205,27.37,9.7,0.0,0.0
"Pescado, sólidos escurridos y con hueso, sin sal, en lata, chum, salmón",13,141,21.43,5.5,0.0,0.0
"Bebidas, en polvo, sabor a naranja, GATORADE, QUAKER OATS, mezcla para bebidas",18,388,0.0,1.2,94.11,0.0
"Guisantes, sin sal, escurridos, hervidos, cocidos, congelados, en vainas comestibles",0,52,3.5,0.4,9.02,3.1
"Harina de trigo, no enriquecida, blanqueada, 10% proteína, blanca (industrial)",18,366,9.71,1.5,76.22,2.4
"Caramelos, frutas y cremas, masticables de frutas STARBURST, MARS SNACKFOOD US",18,408,0.41,8.4,82.43,0.0
"CAMPBELL'S Red and White - Tazones aptos para microondas, sopa cremosa de tomate",0,64,1.22,2.0,10.2,1.2
"Carne de caza, guisada, cocida, compuesta de cortes, domesticada, conejo",7,206,30.38,8.4,0.0,0.0
"Aderezo para ensalada, Omega Plus light, SMART BALANCE, light, mayonesa",1,333,1.53,34.0,9.39,0.2
"Bebidas, B6, E, C, fortificadas con vitaminas A, mango naranja, FUZE",0,38,0.68,0.1,9.2,0.2
"Succotash, sin sal, escurrido, hervido, cocido (maíz y limas)",12,115,5.07,0.8,24.38,4.5
"CRACKER BARREL, del menú infantil, frito, fuente de lomo de pollo",14,294,18.67,15.0,20.24,1.0
"Cerdo, crudo, parte magra y grasa, costillas estilo campestre, lomo, fresco",13,189,19.34,12.0,0.0,0.0
"Galletas, hechas con margarina, preparadas a partir de receta, con chispas de chocolate.",6,488,5.7,28.0,58.4,2.8
"Cerdo, asado, parte magra y grasa, brazo picnic, paleta, curado",11,280,20.43,21.0,0.0,0.0
"Frijoles, bajos en sodio, sólidos y líquidos, enlatados, semillas maduras, pintos",12,82,4.6,0.6,15.18,4.6
"Fórmula infantil, lista para consumir, baja en hierro, SIMILAC, ABBOTT NUTRITION",0,65,1.36,3.6,6.93,0.0
"Harina de trigo, no enriquecida, blanqueada, 13% de proteína, blanca (industrial)",18,362,13.07,1.4,72.2,2.4
"Harina de trigo, no enriquecida, blanqueada, 15% de proteína, blanca (industrial)",18,362,15.33,1.4,69.88,2.4
"Comidas rápidas y condimentos, queso, hamburguesa de salchicha, con huevo, bagel",14,295,12.98,17.0,22.64,0.2
"Pomelo, sólidos y líquidos, en almíbar ligero, en lata, en secciones",0,60,0.56,0.1,15.44,0.4
"Cerdo, asado, en lata, regular (aproximadamente 13 % de grasa), jamón, curado",11,226,20.53,15.0,0.42,0.0
"Caramelos, Frutas originales, Masticables de frutas STARBURST, MARS SNACKFOOD US",18,408,0.41,8.2,82.57,0.0
"Cereales listos para comer, Canela y Pecanas, KELLOGG'S SPECIAL K, KELLOGG",19,375,7.5,6.0,81.2,10.3
"Fórmula infantil, lista para tomar, con hierro, GOOD START 2 Soja, GERBER",0,65,1.84,3.3,7.15,0.0
"Pasteles tostados, Fresa helada, KELLOGG'S POP TARTS, KELLOGG",18,390,4.1,9.8,71.7,1.3
"CARRABBA'S ITALIAN GRILL, pollo a la parmesana sin pasta cavatappi",13,206,19.0,11.0,7.8,0.9
"Carne de res, estofado, cocinado, elección, sólo magro separable, costillas, costilla",11,295,30.76,18.0,0.0,0.0
"Pollo, crudo, con solución añadida, sólo carne, muslo, carne oscura",13,106,19.19,3.3,0.0,0.0
"Cerdo, sin calentar, parte magra y grasa, con hueso, pierna, jamón, curado",13,177,21.61,9.9,0.41,0.0
"Cerdo, sin calentar, parte magra y grasa, con hueso, lonchas, jamón, curado",13,173,22.45,9.2,0.21,0.0
"Alimentos para bebés, junior, sin ácido ascórbico, ciruelas con tapioca, fruta.",0,74,0.1,0.0,20.5,1.2
"Cerdo, estofado, cocido, corazón, variedad de carnes y subproductos, fresco",13,148,23.6,5.1,0.4,0.0
"CAMPBELL'S CHUNKY Soups, Firehouse - Chili de carne y frijoles picante y picante",0,95,6.12,3.3,10.2,2.4
"Cereales listos para comer, KELLOGG'S SPECIAL K Low Fat Granola, KELLOGG",19,375,13.1,5.4,74.8,11.3
"Sopa, preparada con igual volumen de agua, enlatada, crema de espárragos",0,35,0.94,1.7,4.38,0.2
"Jarabes, con potasio agregado, con 2% de arce, panqueques, mezclas de mesa",18,265,0.0,0.1,69.6,0.0
"Sopa, preparada con igual volumen de leche baja en grasa (2%), enlatada, tomate",0,55,2.42,1.2,9.82,0.5
"Pan, congelado, preparado comercialmente, integral, chapati o roti",19,299,7.85,9.2,46.13,9.7
"Caramelos, Frutas tropicales, Masticables de frutas STARBURST, MARS SNACKFOOD US",18,409,0.41,8.3,82.76,0.0
"Producto de queso, fortificado con vitamina D, americano, proceso pasteurizado",11,312,17.12,23.0,8.8,0.0
"Repollo, sin sal, escurrido, hervido, cocido, chino (pak-choi)",0,12,1.56,0.2,1.78,1.0
"Pavo, crudo, con solución añadida, piel entera (clara y oscura)",1,381,12.29,37.0,0.21,0.0
"Pavo, asado, cocido, con solución añadida, sólo carne, carne oscura",7,158,26.1,6.0,0.0,0.0
"Pavo entero, crudo, con solución añadida, solo carne, carne blanca",13,101,21.54,1.7,0.0,0.0
"Pollo, crudo, con solución añadida, carne y piel, muslo, carne oscura",11,197,16.56,15.0,0.0,0.0
"Repollo, crudo, almacenado, común (tipo danés, doméstico y puntiagudo)",0,24,1.21,0.2,5.37,2.3
"Leche, sin vitamina A ni vitamina D añadidas, 3,25 % de grasa láctea, entera",0,61,3.15,3.3,4.78,0.0
"Albaricoques, sólidos y líquidos, con piel, en almíbar espeso, en lata",0,83,0.53,0.1,21.47,1.6
"Albaricoques, sólidos y líquidos, con piel, en almíbar ligero, en lata",0,63,0.53,0.1,16.49,1.6
"Cordero, crudo, sólo magro separable, chuletas de cuello, importado, Nueva Zelanda",13,151,19.84,8.0,0.0,0.0
"Cordero, crudo, sólo magro separable, pierna trasera, importado, Nueva Zelanda",13,115,20.4,3.4,0.73,0.0
"Ternera, estofado, cocido, sólo magro separable, pierna (anterior y trasera)",7,177,32.22,4.3,0.0,0.0
"POPEYES, carne y piel con empanizado, Pechuga, Suave, Pollo Frito",11,274,21.67,16.0,9.83,0.4
"Pollo, guisado, cocido, sólo carne, muslo, para asar o freír",7,169,27.5,5.7,0.0,0.0
"Pollo, crudo, sólo carne, muslo, carne oscura, para asar o para freír",13,116,19.41,3.7,0.0,0.0
"Pavo, sin piel ni huesos, cocido, ahumado, carne clara u oscura",7,170,29.3,5.0,0.0,0.0
"Cereales listos para comer, CAP'N CRUNCH'S PEANUT BUTTER CRUNCH, QUAKER",18,417,7.1,9.2,78.65,2.7
"Repollo de pantano (repollo zorrillo), con sal, escurrido, hervido, cocido",0,20,2.08,0.2,3.7,1.9
"Ciruelas, sólidos y líquidos, en almíbar extra espeso, morado, en lata",0,101,0.36,0.1,26.31,1.0
"Bebidas, listas para beber, sabor vainilla, endulzadas, leche de almendras",0,38,0.42,1.0,6.59,0.4
"Pollo, asado, cocido, carne y piel, lomo, para asar o freír",11,300,25.95,21.0,0.0,0.0
"MORNINGSTAR FARMS Hamburguesa de pizza con tomate y albahaca, sin preparar, congelada",12,161,15.5,8.6,14.0,9.1
"Carne de res, asada, cocida, hamburguesa, 90% carne magra / 10% grasa, molida",7,204,25.21,11.0,0.0,0.0
"Carne de res, asada, cocida, hamburguesa, 85 % carne magra / 15 % grasa, molida",11,232,24.62,14.0,0.0,0.0
"Galletas, regulares (incluye vainilla), preparadas comercialmente, azúcar",6,464,5.35,20.0,67.34,1.3
"Bebidas, Bebida Energética de Arándano, Cran-Energy, OCEAN SPRAY",0,15,0.0,0.0,3.75,0.0
"Pescado, calor seco, cocido, especies mixtas, pacífico y jurel, caballa",7,201,25.73,10.0,0.0,0.0
"Arroz, cocido sin sal, no enriquecido, normal, de grano largo, blanco",0,130,2.69,0.3,28.17,0.4
"Cereales secos, dátiles y nueces, pasas, avena instantánea, QUAKER",2,371,8.82,7.0,72.41,6.9
"Pollo, guisado, cocido, carne y piel, muslo, para asar o freír",11,232,23.26,15.0,0.0,0.0
"Aperitivos, sin sal, elaborados con harina enriquecida, simples, duros, pretzels",18,381,9.1,3.5,79.2,2.8
"Comidas rápidas y tomates, carne molida, frijoles, con queso, nachos.",14,219,6.21,12.0,21.39,3.7
"MORNINGSTAR FARMS Lasaña con salchicha vegetariana, sin preparar, congelada",0,96,7.1,2.3,14.4,2.3
"Arroz, preparado, enriquecido, precocido o instantáneo, de grano largo, blanco",0,124,2.18,0.5,26.76,0.6
"Cereales listos para comer, Pasas abundantes, AVENA CRISP, GENERAL MILLS",2,372,8.5,3.8,80.8,7.5
"Frijoles lima, sin sal, escurridos, hervidos, cocidos, semillas verdes",12,123,6.81,0.3,23.64,5.4
"Uvas, sólidos y líquidos, envasadas en agua, Thompson sin semillas, enlatadas",0,40,0.5,0.1,10.3,0.6
"Cóctel de jugo de arándano, preparado con agua, concentrado congelado",0,47,0.01,0.0,11.81,0.0
"Pasteles tostados, frambuesa glaseada, KELLOGG'S POP TARTS, KELLOGG",18,399,4.2,11.0,71.62,1.0
"Bebidas preparadas con agua, en polvo, con aspartamo, mezcla de cacao",0,29,1.21,0.2,5.61,0.6
"Fórmula infantil, lista para tomar, PROTECT PLUS, GOOD START 2, GERBER",0,66,1.44,3.4,7.39,0.0
"Carne de res, cruda, sólo magro separable, lomo, importado, Nueva Zelanda",13,140,21.19,6.1,0.0,0.0
"Pasteles tostados, arándanos glaseados, KELLOGG'S POP TARTS, KELLOGG",18,391,4.6,10.0,71.77,1.1
"Cerdo, crudo, sólo magro separable, lomo, lomo, mejorado, fresco",13,106,20.39,2.1,0.0,0.0
"Cerdo, crudo, con solución añadida, compuesto de grasa separable, fresco",3,508,9.27,52.0,0.0,0.0
"Sopa, preparada con igual volumen de agua, enlatada, pollo con arroz",0,24,1.45,0.8,2.92,0.3
"Cereales listos para comer, Regular, KRETSCHMER Germen de Trigo, SUN COUNTRY",8,366,31.43,9.6,49.38,11.9
"Comida rápida, masa gruesa, cobertura de pepperoni, pizza de 14"", Pizza Chain",14,287,11.49,13.0,31.84,2.2
"Calabaza, con sal, escurrida, hervida, cocida, paño de cocina (calabaza de toalla)",0,54,0.66,0.3,13.75,2.9
"CAMPBELL'S Mega Noodle Rojo y Blanco, condensado en caldo de pollo",0,71,2.38,1.6,11.9,0.8
"Carne de caza, a la parrilla, cocida, sólo magro separable, lomo, venado",7,149,29.9,2.4,0.0,0.0
"Cereales listos para comer, KELLOGG'S HONEY CRUNCH CORN FLAKES, KELLOGG",18,385,6.8,1.9,87.0,3.4
"Caramelos, Caramelos de chocolate con mantequilla de maní M&M, MARS SNACKFOOD US",6,529,10.16,29.0,56.89,4.0
"Aros de cebolla, calentados en horno, preparados, congelados, fritos, empanizados",10,276,4.14,14.0,33.79,2.2
"CAMPBELL'S Soup on the Go, sopa de verduras con mini fideos redondos",0,33,0.66,0.2,6.89,0.3
"Pollo, rebozado, frito, cocido, carne y piel, para asar o freír",11,289,22.54,17.0,9.42,0.3
"Repollo, sin sal, escurrido, hervido, cocido, chino (pe-tsai)",0,14,1.5,0.2,2.41,1.7
"Cordero, crudo, sólo magro separable, lomo, importado, Nueva Zelanda",13,116,20.53,3.8,0.0,0.0
"Bebidas, con vitamina E añadida, reducida en azúcar, bebida de zumo de frutas.",0,39,0.0,0.1,10.0,0.0
"Muffins, elaborados con leche baja en grasa (2%), preparados según receta, simples",10,296,6.9,11.0,41.4,2.7
"Muffins, preparados comercialmente (Incluye mini muffins), arándanos",6,375,4.49,16.0,53.0,1.1
"Similar a la margarina, con sal, líquida, sin grasa, aceite vegetal para untar",0,43,1.5,3.0,2.5,0.0
"Alcachofas, con sal, escurridas, hervidas, cocidas (globo o francesa)",12,51,2.89,0.3,11.39,5.7
"Helados, Vainilla Chocolate Fresa, Sin Azúcar Añadido, BREYERS",0,143,3.71,6.3,21.7,0.7
"Habas, sin sal, escurridas, hervidas, cocidas, semillas verdes",0,62,4.8,0.5,10.1,3.6
"Pavo, crudo, con solución añadida, sólo carne, pechuga, partes al por menor",13,111,21.99,2.5,0.0,0.0
"Donuts, enriquecidos (incluye bollos de miel), glaseados, con levadura",6,421,6.14,23.0,47.93,2.1
"Cordero, crudo, sólo magro separable, pierna delantera, importado, Nueva Zelanda",13,122,22.05,3.8,0.0,0.0
"Pollo, frito, cocido, sólo carne, carnes blancas, para asar o freidoras",7,192,32.82,5.5,0.42,0.0
"Pollo, guisado, cocido, sólo carne, carne oscura, para asar o freír",7,192,25.97,9.0,0.0,0.0
"Carne de res, asada, cocida, hamburguesa, 80% carne magra / 20% grasa, molida",11,246,24.04,16.0,0.0,0.0
"Carne de res, asada, cocida, hamburguesa, 75 % carne magra / 25 % grasa, molida",11,248,23.45,16.0,0.0,0.0
"Frijoles, con sal, hervidos, cocidos, semillas maduras, todos los tipos, riñones",12,127,8.67,0.5,22.8,6.4
"Frijoles, con sal, hervidos, cocidos, semillas maduras, arándano (romano)",12,136,9.34,0.5,24.46,8.6
"Cerdo, asado, cocido, parte magra y grasa, entero, lomo, fresco",11,248,27.09,15.0,0.0,0.0
"Cerdo, a la parrilla, cocido, parte magra y grasa, entero, lomo, fresco",7,242,27.32,14.0,0.0,0.0
"Harina de trigo, no enriquecida, blanqueada, 9% de proteína, blanca (industrial)",18,367,8.89,1.4,77.32,2.4
"CAMPBELL'S Red and White - Tazones aptos para microondas, sopa de arroz con pollo",0,30,0.82,0.4,5.71,0.4
"DIGIORNO Pizza, horneada, congelada, corteza fina y crujiente, cobertura suprema",14,255,11.41,11.0,28.05,2.8
"Productos básicos del USDA, cocidos, congelados, a granel/enlatados/empanadas, salchichas, carne de cerdo",11,267,19.76,20.0,0.0,0.0
"Restaurante, sin carne ni fideos, chow mein de verduras, chino",0,43,1.34,1.7,5.74,1.2
"Pollo, cocido a fuego lento, carne y piel, cuello, para asar o freír",11,247,19.61,18.0,0.0,0.0
"Pasta PREGO, lista para servir, cebolla picada y salsa italiana de ajo",0,92,1.54,3.5,13.85,2.3
"Bebidas, descafeinadas, preparadas con agua del grifo, elaboradas, café",0,0,0.1,0.0,0.0,0.0
"Sopa, preparada con igual volumen de leche, enlatada, crema de espárragos",0,65,2.55,3.3,6.61,0.3
"MORNINGSTAR FARMS Chik'n Grill Veggie Patties, sin preparar, congeladas",12,118,12.8,4.8,10.2,5.7
